topic,word,n,tf,idf,tf_idf
1,dvh,58,8.057412117597653e-6,1.0986122886681098,8.851971967256118e-6
1,wyb,57,7.918491219018382e-6,1.0986122886681098,8.699351760924116e-6
1,brendan,56,7.779570320439112e-6,1.0986122886681098,8.546731554592112e-6
1,tdurum,56,7.779570320439112e-6,1.0986122886681098,8.546731554592112e-6
3,isocline,56,1.0272741281010837e-5,1.0986122886681098,1.1285759809626686e-5
1,fortis,55,7.640649421859843e-6,1.0986122886681098,8.394111348260112e-6
1,intraverbal,55,7.640649421859843e-6,1.0986122886681098,8.394111348260112e-6
3,isds,55,1.0089299472421358e-5,1.0986122886681098,1.1084228384454781e-5
1,mypanelbmin,54,7.501728523280573e-6,1.0986122886681098,8.24149114192811e-6
3,orderarr,54,9.90585766383188e-6,1.0986122886681098,1.0882696959282876e-5
3,unlistwithna,53,9.7224158552424e-6,1.0986122886681098,1.0681165534110972e-5
1,dagenham,52,7.223886726122033e-6,1.0986122886681098,7.936250729264106e-6
1,objectwidth,52,7.223886726122033e-6,1.0986122886681098,7.936250729264106e-6
1,typefk,52,7.223886726122033e-6,1.0986122886681098,7.936250729264106e-6
3,آباد,52,9.538974046652922e-6,1.0986122886681098,1.0479634108939067e-5
3,rollin,52,9.538974046652922e-6,1.0986122886681098,1.0479634108939067e-5
1,nperiods,51,7.084965827542763e-6,1.0986122886681098,7.783630522932104e-6
3,resfit,51,9.355532238063441e-6,1.0986122886681098,1.027810268376716e-5
3,selectedby,51,9.355532238063441e-6,1.0986122886681098,1.027810268376716e-5
1,catme,50,6.946044928963493e-6,1.0986122886681098,7.6310103166001e-6
1,hunwick,50,6.946044928963493e-6,1.0986122886681098,7.6310103166001e-6
1,phaneuf,50,6.946044928963493e-6,1.0986122886681098,7.6310103166001e-6
1,vænge,50,6.946044928963493e-6,1.0986122886681098,7.6310103166001e-6
3,cellulosa,50,9.172090429473962e-6,1.0986122886681098,1.0076571258595256e-5
3,veg's,50,9.172090429473962e-6,1.0986122886681098,1.0076571258595256e-5
3,zerbedata,50,9.172090429473962e-6,1.0986122886681098,1.0076571258595256e-5
1,aqu,49,6.807124030384223e-6,1.0986122886681098,7.478390110268099e-6
1,changamwe,49,6.807124030384223e-6,1.0986122886681098,7.478390110268099e-6
1,shoton,49,6.807124030384223e-6,1.0986122886681098,7.478390110268099e-6
3,heisteria,49,8.988648620884483e-6,1.0986122886681098,9.875039833423352e-6
3,lekarz,49,8.988648620884483e-6,1.0986122886681098,9.875039833423352e-6
3,lmq,49,8.988648620884483e-6,1.0986122886681098,9.875039833423352e-6
1,gela,48,6.668203131804954e-6,1.0986122886681098,7.325769903936098e-6
1,original.file,48,6.668203131804954e-6,1.0986122886681098,7.325769903936098e-6
1,shawn,48,6.668203131804954e-6,1.0986122886681098,7.325769903936098e-6
1,ulpod,48,6.668203131804954e-6,1.0986122886681098,7.325769903936098e-6
3,bed.igtb,48,8.805206812295004e-6,1.0986122886681098,9.673508408251446e-6
3,ctcf.motif.minus,48,8.805206812295004e-6,1.0986122886681098,9.673508408251446e-6
3,rollinlag,48,8.805206812295004e-6,1.0986122886681098,9.673508408251446e-6
3,simarouba,48,8.805206812295004e-6,1.0986122886681098,9.673508408251446e-6
1,ipf,47,6.529282233225683e-6,1.0986122886681098,7.173149697604095e-6
1,partij,47,6.529282233225683e-6,1.0986122886681098,7.173149697604095e-6
1,empres,46,6.390361334646414e-6,1.0986122886681098,7.020529491272093e-6
1,field.book,46,6.390361334646414e-6,1.0986122886681098,7.020529491272093e-6
1,matcode,46,6.390361334646414e-6,1.0986122886681098,7.020529491272093e-6
1,rfa,46,6.390361334646414e-6,1.0986122886681098,7.020529491272093e-6
1,spot.exchange.rate,46,6.390361334646414e-6,1.0986122886681098,7.020529491272093e-6
1,varvalue,46,6.390361334646414e-6,1.0986122886681098,7.020529491272093e-6
3,bimini,46,8.438323195116045e-6,1.0986122886681098,9.270445557907634e-6
3,mixt,46,8.438323195116045e-6,1.0986122886681098,9.270445557907634e-6
3,obsy,46,8.438323195116045e-6,1.0986122886681098,9.270445557907634e-6
3,setanta,46,8.438323195116045e-6,1.0986122886681098,9.270445557907634e-6
1,checkin,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
1,ensp,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
1,huk,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
1,jomvu,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
1,nintendo,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
1,subban,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
1,testmeansd,45,6.251440436067144e-6,1.0986122886681098,6.8679092849400915e-6
3,cascadas,45,8.254881386526566e-6,1.0986122886681098,9.06891413273573e-6
3,one.data,45,8.254881386526566e-6,1.0986122886681098,9.06891413273573e-6
3,sweeptest,45,8.254881386526566e-6,1.0986122886681098,9.06891413273573e-6
1,fillernp,44,6.1125195374878736e-6,1.0986122886681098,6.715289078608089e-6
3,ratioxy,44,8.071439577937087e-6,1.0986122886681098,8.867382707563826e-6
3,specjalista,44,8.071439577937087e-6,1.0986122886681098,8.867382707563826e-6
3,notb,43,7.887997769347608e-6,1.0986122886681098,8.66585128239192e-6
1,allergie,42,5.834677740329334e-6,1.0986122886681098,6.410048665944085e-6
1,month.m,42,5.834677740329334e-6,1.0986122886681098,6.410048665944085e-6
1,plekanec,42,5.834677740329334e-6,1.0986122886681098,6.410048665944085e-6
3,highlightnearest,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
3,outer.radius,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
3,rccoef,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
3,ssim,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
3,visreg,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
3,werex,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
3,wlcoef,42,7.704555960758128e-6,1.0986122886681098,8.464319857220014e-6
1,erebidae,41,5.695756841750064e-6,1.0986122886681098,6.2574284596120825e-6
1,lineparts,41,5.695756841750064e-6,1.0986122886681098,6.2574284596120825e-6
1,reach.dat,41,5.695756841750064e-6,1.0986122886681098,6.2574284596120825e-6
1,rleid,41,5.695756841750064e-6,1.0986122886681098,6.2574284596120825e-6
3,acciughe,41,7.521114152168649e-6,1.0986122886681098,8.26278843204811e-6
3,svenska,41,7.521114152168649e-6,1.0986122886681098,8.26278843204811e-6
1,lastdate,40,5.556835943170794e-6,1.0986122886681098,6.1048082532800805e-6
3,daba,40,7.33767234357917e-6,1.0986122886681098,8.061257006876204e-6
3,miggi,40,7.33767234357917e-6,1.0986122886681098,8.061257006876204e-6
3,miggiii,40,7.33767234357917e-6,1.0986122886681098,8.061257006876204e-6
3,poscase,40,7.33767234357917e-6,1.0986122886681098,8.061257006876204e-6
3,warmwater,40,7.33767234357917e-6,1.0986122886681098,8.061257006876204e-6
3,willi,40,7.33767234357917e-6,1.0986122886681098,8.061257006876204e-6
1,desharnais,39,5.417915044591525e-6,1.0986122886681098,5.952188046948079e-6
1,emelin,39,5.417915044591525e-6,1.0986122886681098,5.952188046948079e-6
1,epq,39,5.417915044591525e-6,1.0986122886681098,5.952188046948079e-6
1,fleischmann,39,5.417915044591525e-6,1.0986122886681098,5.952188046948079e-6
1,inmt,39,5.417915044591525e-6,1.0986122886681098,5.952188046948079e-6
1,sadf,39,5.417915044591525e-6,1.0986122886681098,5.952188046948079e-6
3,billeruds,39,7.15423053498969e-6,1.0986122886681098,7.859725581704298e-6
3,dejan,39,7.15423053498969e-6,1.0986122886681098,7.859725581704298e-6
3,signature.r,39,7.15423053498969e-6,1.0986122886681098,7.859725581704298e-6
3,ugym,39,7.15423053498969e-6,1.0986122886681098,7.859725581704298e-6
